City,Pop,PC_Inc,HHs,LHS,HS,SC_AA,BA,Prof_Grad,Inc_25K,Inc_25_50K,Inc_50_75K,Inc_75_100K,Inc_100_150K,Inc_150Kplus,MHI,BelowPov,Earn_35K,Earn_35K_65K,Earn_65Kplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agoura Hills city, California","20,299","62,814","7,279",2.7%,9.4%,24.1%,40.8%,23.0%,6.0%,10.7%,8.6%,12.0%,20.3%,42.4%,"126,956",3.9%,11.9%,23.9%,64.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alhambra city, California","82,868","31,691","30,297",17.1%,21.8%,24.7%,24.3%,12.1%,18.9%,19.2%,16.6%,12.9%,17.8%,14.5%,"66,593",12.1%,29.9%,35.5%,34.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arcadia city, California","56,681","43,923","19,207",7.4%,14.7%,21.0%,36.3%,20.7%,10.8%,14.4%,15.3%,10.8%,18.7%,30.0%,"95,736",8.8%,19.7%,31.3%,49.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artesia city, California","16,395","24,545","4,494",19.7%,21.6%,26.7%,22.5%,9.5%,9.9%,23.9%,16.7%,14.0%,21.9%,13.7%,"74,375",7.6%,38.9%,34.2%,26.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Avalon city, California","3,460","34,131","1,652",11.6%,26.4%,39.9%,17.0%,5.0%,15.3%,17.1%,16.0%,13.9%,29.1%,8.7%,"78,529",10.6%,34.8%,37.3%,27.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azusa city, California","50,000","23,591","13,279",19.6%,25.2%,27.9%,17.2%,10.1%,13.1%,21.0%,21.7%,13.8%,17.7%,12.6%,"65,912",14.3%,41.4%,33.1%,25.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baldwin Park city, California","72,176","20,104","17,708",33.7%,29.5%,23.5%,11.2%,2.0%,15.4%,19.8%,21.0%,15.8%,17.6%,10.4%,"68,741",12.6%,47.4%,35.0%,17.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bell city, California","33,559","15,419","8,930",44.5%,28.3%,18.9%,7.5%,0.8%,24.5%,27.1%,19.9%,14.3%,8.3%,5.9%,"47,740",23.0%,57.4%,33.1%,9.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bellflower city, California","79,190","24,628","22,998",23.3%,25.5%,33.5%,13.0%,4.7%,17.5%,21.8%,19.2%,13.6%,17.0%,10.9%,"63,848",12.9%,35.8%,39.4%,24.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bell Gardens city, California","39,501","13,215","9,657",49.5%,27.2%,17.2%,4.4%,1.6%,22.8%,33.6%,20.7%,12.0%,7.0%,3.9%,"45,289",26.6%,64.7%,29.5%,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
